timestamp(ms),x,dx,theta,dtheta,
"1757540642.011",,"0",,,
"1757540642.012",,,"-0.02",,
"1757540642.013",,,,,
"1757540642.111","0",,,,
"1757540642.112",,"0",,,
"1757540642.113",,,"-0.02",,
"1757540642.114",,,,,
"1757540642.212","0",,,,
"1757540642.213",,"0",,,
"1757540642.214",,,"-0.01",,
"1757540642.215",,,,,
"1757540642.313","0",,,,
"1757540642.314",,"0",,,
"1757540642.315",,,"0",,
"1757540642.316",,,,,
"1757540642.414","0",,,,
"1757540642.415",,"0",,,
"1757540642.416",,,"0.01",,
"1757540642.417",,,,,
"1757540642.515","0",,,,
"1757540642.517",,"0",,,
"1757540642.518",,,"0.02",,
"1757540642.519",,,,,
"1757540642.616","0",,,,
"1757540642.617",,"0",,,
"1757540642.618",,,"0.02",,
"1757540642.619",,,,,
"1757540642.717","0","0",,,
"1757540642.719",,,"0.02",,
"1757540642.72",,,,,
"1757540642.819","0","0",,,
"1757540642.82",,,"0.01",,
"1757540642.821",,,,,
"1757540642.919","0","0",,,
"1757540642.921",,,"0.01",,
"1757540642.922",,,,,
"1757540643.02","0","0",,,
"1757540643.022",,,"0",,
"1757540643.023",,,,,
"1757540643.121","0","0",,,
"1757540643.123",,,"-0.01",,
"1757540643.124",,,,,
"1757540643.222","0","0",,,
"1757540643.224",,,"-0.01",,
"1757540643.225",,,,,
"1757540643.323","0",,,,
"1757540643.324",,"0",,,
"1757540643.325",,,"-0.02",,
"1757540643.326",,,,,
"1757540643.424","0",,,,
"1757540643.425",,"0",,,
"1757540643.426",,,"-0.02",,
"1757540643.427",,,,,
"1757540643.525","0",,,,
"1757540643.526",,"0",,,
"1757540643.527",,,"-0.01",,
"1757540643.528",,,,,
"1757540643.626","0",,,,
"1757540643.627",,"0",,,
"1757540643.628",,,"-0.01",,
"1757540643.629",,,,,
"1757540643.727","0",,,,
"1757540643.728",,"0",,,
"1757540643.729",,,"0",,
"1757540643.73",,,,,
"1757540643.828","0",,,,
"1757540643.829",,"0",,,
"1757540643.83",,,"0.01",,
"1757540643.831",,,,,
"1757540643.929","0",,,,
"1757540643.93",,"0",,,
"1757540643.931",,,"0.01",,
"1757540643.932",,,,,
"1757540644.03","0",,,,
"1757540644.031",,"0",,,
"1757540644.032",,,"0.02",,
"1757540644.033",,,,,
"1757540644.131","0",,,,
"1757540644.132",,"0",,,
"1757540644.133",,,"0.02",,
"1757540644.134",,,,,
"1757540644.232","0",,,,
"1757540644.233",,"0",,,
"1757540644.234",,,"0.01",,
"1757540644.235",,,,,
"1757540644.333","0",,,,
"1757540644.334",,"0",,,
"1757540644.336",,,"0.01",,
"1757540644.337",,,,,
"1757540644.434","0",,,,
"1757540644.435",,"0",,,
"1757540644.436",,,"0",,
"1757540644.437",,,,,
"1757540644.535","0",,,,
"1757540644.536",,"0",,,
"1757540644.537",,,"-0.01",,
"1757540644.538",,,,,
"1757540644.636","0",,,,
"1757540644.637",,"0",,,
"1757540644.638",,,"-0.01",,
"1757540644.639",,,,,
"1757540644.737","0",,,,
"1757540644.738",,"0",,,
"1757540644.739",,,"-0.01",,
"1757540644.74",,,,,
"1757540644.838","0",,,,
"1757540644.839",,"0",,,
"1757540644.84",,,"-0.01",,
"1757540644.841",,,,,
"1757540644.939","0",,,,
"1757540644.94",,"0",,,
"1757540644.941",,,"-0.01",,
"1757540644.942",,,,,
"1757540645.04","0",,,,
"1757540645.041",,"0",,,
